,Unnamed: 0,origin_x,origin_y,destination_x,destination_y,treq,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,PT_fare,u_PT
58,58,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 07:55:49,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]",1.126,4.126385438565285
59,59,19.88948,50.01844,19.90664300481499,50.03013095170665,2024-03-28 08:10:10,True,3.0,597.0,478.4387443512949,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 415, 478]]",1.189,4.623892675382553
60,60,19.88948,50.01844,19.919769509020625,50.0693415585258,2024-03-28 08:13:50,True,3.0,2138.0,728.9946090179226,1.0,1500.0,60.0,"[['TRAM', 360, 2784], ['WALK', 62, 79], ['BUS', 1140, 4846], ['WALK', 516, 649]]",2.575,14.247468552604548
61,61,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 07:48:47,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]",1.126,4.126385438565285
62,62,19.88948,50.01844,20.07717820802002,50.07277521359188,2024-03-28 08:02:50,,,,,,,,,,
63,63,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 07:54:18,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]",1.126,4.126385438565285
64,64,19.88948,50.01844,19.90664300481499,50.03013095170665,2024-03-28 07:46:55,True,3.0,597.0,478.4387443512949,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 415, 478]]",1.189,4.623892675382553
65,65,19.88948,50.01844,19.90664300481499,50.03013095170665,2024-03-28 08:09:29,True,3.0,597.0,478.4387443512949,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 415, 478]]",1.189,4.623892675382553
66,66,19.88948,50.01844,19.947149505549167,50.06925456517236,2024-03-28 08:13:52,True,3.0,2038.0,723.0248270602209,0.0,1440.0,2.0,"[['TRAM', 1440, 7785], ['WALK', 596, 722]]",2.512,11.783644824517957
67,67,19.88948,50.01844,19.946976008268063,50.05173995678817,2024-03-28 07:50:35,True,3.0,1582.0,534.8379022375404,0.0,1080.0,2.0,"[['TRAM', 1080, 6263], ['WALK', 500, 534]]",2.134,9.04788776305232
68,68,19.88948,50.01844,19.98485702298316,50.08796386842873,2024-03-28 07:46:29,True,3.0,2905.0,285.53408269601925,1.0,2460.0,172.0,"[['WALK', 50, 43], ['BUS', 2160, 13550], ['WALK', 10, 10], ['BUS', 300, 1743], ['WALK', 213, 231]]",3.5829999999999997,16.812615482393444
