,origin_x,origin_y,destination_x,destination_y,treq,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes
120,19.88948,50.01844,19.940892831697568,50.03098883384271,2024-03-28 07:59:41,True,3.0,1230.0,478.8799774390601,0.0,840.0,2.0,"[['TRAM', 840, 4303], ['WALK', 388, 478]]"
121,19.88948,50.01844,19.90664300481499,50.03013095170665,2024-03-28 07:58:47,True,3.0,597.0,478.4387443512949,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 415, 478]]"
122,19.88948,50.01844,19.8904281607904,50.01147754141,2024-03-28 08:14:45,True,3.0,725.0,694.6383984830309,0.0,120.0,2.0,"[['WALK', 50, 43], ['BUS', 120, 842], ['WALK', 553, 650]]"
123,19.88948,50.01844,19.8904281607904,50.01147754141,2024-03-28 08:00:54,True,3.0,725.0,694.6383984830309,0.0,120.0,2.0,"[['WALK', 50, 43], ['BUS', 120, 842], ['WALK', 553, 650]]"
124,19.88948,50.01844,19.940467095465014,50.04841888952842,2024-03-28 08:06:06,True,3.0,1530.0,524.2580826960192,0.0,1080.0,2.0,"[['TRAM', 1080, 6263], ['WALK', 448, 523]]"
125,19.88948,50.01844,19.86152711303839,50.01791522363754,2024-03-28 07:45:18,True,3.0,1193.0,1205.108714276495,0.0,240.0,2.0,"[['WALK', 50, 43], ['BUS', 240, 1511], ['WALK', 901, 1161]]"
126,19.88948,50.01844,19.903453043152297,49.986252508501714,2024-03-28 08:10:21,True,3.0,2086.0,108.26745864231023,1.0,1380.0,602.0,"[['WALK', 50, 43], ['BUS', 960, 5534], ['BUS', 420, 2944], ['WALK', 54, 64]]"
127,19.88948,50.01844,20.02368742428604,50.07018381819872,2024-03-28 08:03:43,True,3.0,2913.0,810.4642481041915,1.0,1980.0,242.0,"[['WALK', 50, 43], ['BUS', 1560, 10225], ['BUS', 420, 2317], ['WALK', 641, 766]]"
128,19.88948,50.01844,19.85070241837846,50.030662414247296,2024-03-28 07:52:04,True,3.0,962.0,670.4044962325834,0.0,420.0,2.0,"[['WALK', 50, 43], ['BUS', 420, 3049], ['WALK', 490, 626]]"
129,19.88948,50.01844,19.900957039209576,50.0195528675999,2024-03-28 07:58:40,True,3.0,400.0,379.8008120212078,0.0,60.0,2.0,"[['TRAM', 60, 671], ['WALK', 338, 379]]"
130,19.88948,50.01844,20.062020761490665,50.09881658491011,2024-03-28 07:58:27,True,3.0,3545.0,481.5222180326183,2.0,2700.0,424.0,"[['WALK', 50, 43], ['BUS', 1620, 10631], ['WALK', 62, 79], ['TRAM', 720, 3804], ['WALK', 56, 71], ['BUS', 360, 2075], ['WALK', 253, 287]]"
131,19.88948,50.01844,19.86111742050041,50.00647464250644,2024-03-28 07:58:05,True,3.0,768.0,396.59190976430705,0.0,420.0,2.0,"[['WALK', 199, 201], ['BUS', 420, 2678], ['WALK', 147, 194]]"
132,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 08:07:43,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]"
133,19.88948,50.01844,19.97079591096029,50.02918125111447,2024-03-28 07:49:13,True,3.0,1803.0,573.9392556309583,1.0,1320.0,2.0,"[['TRAM', 960, 4663], ['WALK', 60, 75], ['BUS', 360, 2136], ['WALK', 421, 497]]"
